RestaurantID,RestaurantName,CuisineType,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrdersCount,UberEatsOrdersCount,DoorDashOrdersCount,SelfDeliveryOrdersCount,InStoreRevenue,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,TotalRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,TotalNetProfit,InStoreShare,UE_share,DD_share,SD_share
1,Golden Wok #1,Sushi,Casual Dining,Ponsonby,1.0137,36.73,2574,877,580,594,523,32212.21,21968.64,23167.35,20034.45,97382.65,0.3532,0.4718,0.2694,4.9,1.72,899.56,5637.14,-2073.84,-2187.0,2606.47,3982.77,0.3407,0.3418,0.35,0.3082
2,Tui Table #2,Italian,Bar/Pub,Devonport,0.9933,34.29,2087,984,379,348,376,33741.36,14739.98,13058.16,13747.74,75287.24,0.2858,0.2804,0.304,3.0,2.1,789.6,14637.0,1913.25,1694.95,5174.17,23419.37,0.4715,0.3436,0.3155,0.3409
3,Arataki Eatery #3,Sushi,Cafe,Manukau,1.0241,34.18,2545,1091,514,527,413,37290.38,20030.88,19024.48,14273.15,90618.89,0.2823,0.4264,0.2845,5.7,2.91,1201.83,10862.69,136.21,129.37,2955.94,14084.21,0.4287,0.3535,0.3624,0.284
4,The Copper Pan #4,Indian,QSR,Ponsonby,1.0026,32.11,5752,1989,1228,1412,1123,63866.79,44431.32,46560.47,38684.48,193543.06,0.2889,0.3511,0.3186,6.7,2.56,2874.88,22992.04,1839.46,1927.6,11051.53,37810.63,0.3458,0.3263,0.3752,0.2984
5,Nikau Noodle House #5,Seafood,QSR,North Shore,1.0025,32.98,4754,1845,902,1077,930,60848.1,32518.35,39636.93,31975.37,164978.75,0.3308,0.3289,0.2711,3.8,3.58,3329.4,20706.61,2250.27,2742.88,7551.82,33251.58,0.3881,0.3101,0.3702,0.3197
6,Manuka Street Food #6,Sushi,Casual Dining,Newmarket,1.0141,38.05,3091,1012,601,847,631,38506.6,24983.07,33589.37,25135.33,122214.37,0.3194,0.3373,0.294,6.9,4.24,2675.44,13219.32,1231.67,1655.96,5953.52,22060.47,0.3274,0.2891,0.4074,0.3035
7,Golden Wok #7,Bar & Grill,Fine Dining,Ponsonby,1.0084,46.18,1088,692,159,104,133,31956.56,8429.32,5164.57,6392.61,51943.06,0.3255,0.4576,0.2952,3.0,1.73,230.09,6931.38,-660.02,-404.39,1156.47,7023.44,0.636,0.4015,0.2626,0.3359
8,Volcano Pizza #8,Pizza,QSR,Manukau,1.0187,33.49,6318,1765,1778,1539,1236,59109.85,62655.1,55835.3,41512.94,219113.19,0.2485,0.2765,0.325,5.9,1.99,2459.64,28077.18,9398.26,8375.29,17259.01,63109.74,0.2794,0.3905,0.338,0.2715
9,Cafe Aroha #9,Sushi,QSR,Devonport,0.99,29.79,4891,1758,1348,866,919,52370.82,41356.54,26932.78,28465.72,149125.86,0.2868,0.3015,0.2288,13.7,1.22,1121.18,21561.07,7564.11,4926.01,10598.16,44649.35,0.3594,0.4303,0.2764,0.2933
10,Golden Wok #10,Steakhouse,Casual Dining,Manukau,1.0141,40.33,2354,857,511,629,357,34562.81,22526.31,26186.74,14701.37,97977.23,0.3426,0.3675,0.2662,10.9,5.03,1795.71,10019.76,533.87,620.63,2466.22,13640.48,0.3641,0.3413,0.4202,0.2385
11,Karaka Kebabs #11,Vegan/Plant-Based,QSR,West Auckland,0.9965,29.79,5955,2129,1823,1188,815,63422.91,57714.52,37699.46,24944.46,183781.35,0.3683,0.2,0.3055,10.2,3.14,2559.1,27379.67,7283.57,4757.67,8209.42,47630.33,0.3575,0.4765,0.3105,0.213
12,Pohutukawa Pub #12,Sushi,Fine Dining,Devonport,1.0005,39.95,1063,584,86,221,172,23330.8,3648.38,10098.53,7228.22,44305.93,0.3518,0.5061,0.3264,6.0,3.33,572.76,3315.31,-672.4,-1861.16,454.37,1236.12,0.5494,0.1795,0.4614,0.3591
13,Rangitoto Roast #13,Indian,Cafe,West Auckland,0.99,30.8,3348,1534,680,742,392,47247.2,21382.17,25138.22,12554.32,106321.91,0.257,0.3459,0.2872,4.1,1.33,521.36,18761.86,2349.9,2762.69,4463.96,28338.41,0.4582,0.3749,0.409,0.2161
14,Rangitoto Roast #14,Korean BBQ,QSR,South Auckland,1.0187,32.29,6546,2167,1643,1478,1258,69972.43,58225.68,51045.46,40923.75,220167.32,0.2645,0.2758,0.2712,5.5,2.8,3522.4,32166.33,10975.54,9622.07,15290.25,68054.19,0.331,0.3752,0.3375,0.2873
