RestaurantID,RestaurantName,CuisineType,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrdersCount,UberEatsOrdersCount,DoorDashOrdersCount,SelfDeliveryOrdersCount,InStoreRevenue,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,TotalRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,TotalNetProfit,InStoreShare,UE_share,DD_share,SD_share,NetMarginPct,AggregatorDependence,AggregatorRevenueShare,CostBurden,DeliveryEfficiency,ScaleIndex,RevenuePerOrder,TotalRevenue_pt,MonthlyOrders_pt,ScaleIndex_pt,SD_DeliveryTotalCost_pt,PC1,PC2,PC3,ClusterID,GPI,ClusterLabel,StrategicRecommendation
1,Golden Wok #1,Sushi,Casual Dining,Ponsonby,1.0137,36.73,2574,877,580,594,523,32212.21,21968.64,23167.35,20034.45,97382.65,0.3532,0.4718,0.2694,4.9,1.72,899.56,5637.14,-2073.84,-2187.0,2606.47,3982.77,0.3407,0.3418,0.35,0.3082,0.04089814766798809,0.6918,0.4634910838840389,0.825,88.64406779661016,2609.2638,37.83319735819735,-0.31233599084325314,-0.3705879978854853,-0.35575410362720244,-0.5679159633042663,2.1684704168993902,1.7490541844244998,2.428458663370432,2,38.1,Aggregator-Dependent Low Margin,"Rebalance channels: shift volume toward in-store/self-delivery, renegotiate commission exposure"
2,Tui Table #2,Italian,Bar/Pub,Devonport,0.9933,34.29,2087,984,379,348,376,33741.36,14739.98,13058.16,13747.74,75287.24,0.2858,0.2804,0.304,3.0,2.1,789.6,14637.0,1913.25,1694.95,5174.17,23419.37,0.4715,0.3436,0.3155,0.3409,0.31106692183164103,0.6591,0.36922777352443786,0.5662,94.0,2073.0171,36.07438428366076,-0.8165730611664531,-0.7323996828823275,-0.7501656908644763,-0.7282547477722106,0.12623415280341463,-2.6229435024251666,-0.4237188186434543,0,52.0,Scalable Self-Delivery Leaders,"Optimize: invest in expansion capacity, replicate channel mix in new sites"
3,Arataki Eatery #3,Sushi,Cafe,Manukau,1.0241,34.18,2545,1091,514,527,413,37290.38,20030.88,19024.48,14273.15,90618.89,0.2823,0.4264,0.2845,5.7,2.91,1201.83,10862.69,136.21,129.37,2955.94,14084.21,0.4287,0.3535,0.3624,0.284,0.15542245110263433,0.7159,0.430984753841059,0.7087,61.64179104477612,2606.3345,35.606636542239684,-0.4601138782092979,-0.39114684312790976,-0.357792717884213,-0.19757970979563255,0.7861310103108498,0.46568107340028797,0.3293085455631626,2,46.6,Aggregator-Dependent Low Margin,"Rebalance channels: shift volume toward in-store/self-delivery, renegotiate commission exposure"
4,The Copper Pan #4,Indian,QSR,Ponsonby,1.0026,32.11,5752,1989,1228,1412,1123,63866.79,44431.32,46560.47,38684.48,193543.06,0.2889,0.3511,0.3186,6.7,2.56,2874.88,22992.04,1839.46,1927.6,11051.53,37810.63,0.3458,0.3263,0.3752,0.2984,0.19536029863328605,0.7015,0.4701371880758732,0.64,145.84415584415584,5766.955199999999,33.647958970792764,1.4072808822328413,1.4413689812988826,1.4130992358464385,1.0441215576277236,-1.4031541888614505,-0.17312817804863076,1.324027566559466,4,59.2,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
5,Nikau Noodle House #5,Seafood,QSR,North Shore,1.0025,32.98,4754,1845,902,1077,930,60848.1,32518.35,39636.93,31975.37,164978.75,0.3308,0.3289,0.2711,3.8,3.58,3329.4,20706.61,2250.27,2742.88,7551.82,33251.58,0.3881,0.3101,0.3702,0.3197,0.20155068455785974,0.6802999999999999,0.437361054075146,0.6597,193.75,4765.884999999999,34.70314472023559,0.9521941862575982,0.9419804032852255,0.9214382324637914,1.2733358291205408,-0.6950915234994439,-0.7268782944422337,2.3512325373815157,4,57.9,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
6,Manuka Street Food #6,Sushi,Casual Dining,Newmarket,1.0141,38.05,3091,1012,601,847,631,38506.6,24983.07,33589.37,25135.33,122214.37,0.3194,0.3373,0.294,6.9,4.24,2675.44,13219.32,1231.67,1655.96,5953.52,22060.47,0.3274,0.2891,0.4074,0.3035,0.1805063512580395,0.6965,0.47925984481202993,0.6567000000000001,79.87341772151899,3134.5831,39.538780329990296,0.19113005974122801,-0.021338615196465627,-0.006932008440886739,0.934078414032041,0.3792954619503804,0.19962304488471638,0.8881064959027748,2,52.4,Aggregator-Dependent Low Margin,"Rebalance channels: shift volume toward in-store/self-delivery, renegotiate commission exposure"
7,Golden Wok #7,Bar & Grill,Fine Dining,Ponsonby,1.0084,46.18,1088,692,159,104,133,31956.56,8429.32,5164.57,6392.61,51943.06,0.3255,0.4576,0.2952,3.0,1.73,230.09,6931.38,-660.02,-404.39,1156.47,7023.44,0.636,0.4015,0.2626,0.3359,0.1352142134098376,0.6641,0.26170753128521884,0.7831,33.25,1097.1392,47.741783088235294,-1.4366573171419903,-1.6367530736757328,-1.6308323125958164,-2.068115454452285,5.638183942183576,-0.5825640517833697,-0.30771367551039724,3,27.9,"Overextended, Low Return","Hold / stabilize: pause expansion, reduce cost burden and delivery radius before reinvesting"
8,Volcano Pizza #8,Pizza,QSR,Manukau,1.0187,33.49,6318,1765,1778,1539,1236,59109.85,62655.1,55835.3,41512.94,219113.19,0.2485,0.2765,0.325,5.9,1.99,2459.64,28077.18,9398.26,8375.29,17259.01,63109.74,0.2794,0.3905,0.338,0.2715,0.28802346403701207,0.7285,0.540772556868895,0.525,179.1304347826087,6436.1466,34.68078347578348,1.7874130296640935,1.705896113738607,1.7183236182135946,0.8071879722978196,-3.6771170989650237,-0.20397838852343708,1.3493101371503382,4,78.0,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
9,Cafe Aroha #9,Sushi,QSR,Devonport,0.99,29.79,4891,1758,1348,866,919,52370.82,41356.54,26932.78,28465.72,149125.86,0.2868,0.3015,0.2288,13.7,1.22,1121.18,21561.07,7564.11,4926.01,10598.16,44649.35,0.3594,0.4303,0.2764,0.2933,0.29940715849015054,0.7067,0.4579307706926217,0.5883,62.51700680272109,4842.09,30.489850746268655,0.6828343775298568,1.0133669092925235,0.9605725731506212,-0.2881862751640361,-2.0247602951703803,-1.0173421077985407,-0.4592212146112729,4,54.1,High-Growth / High-Risk,Optimize: strong momentum but monitor cost burden; reinforce operational capacity ahead of scale
10,Golden Wok #10,Steakhouse,Casual Dining,Manukau,1.0141,40.33,2354,857,511,629,357,34562.81,22526.31,26186.74,14701.37,97977.23,0.3426,0.3675,0.2662,10.9,5.03,1795.71,10019.76,533.87,620.63,2466.22,13640.48,0.3641,0.3413,0.4202,0.2385,0.1392209189829106,0.7615000000000001,0.4971874587595506,0.7101,30.0,2387.1914,41.621593033135085,-0.2995894990792555,-0.5294981022314259,-0.5136772505837766,0.3494822539138825,1.2245622209057463,2.1071757085724645,-0.43006798731786616,2,40.7,Aggregator-Dependent Low Margin,"Rebalance channels: shift volume toward in-store/self-delivery, renegotiate commission exposure"
